Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"133518000","0","3283","17.3"
"133729000","0","3283","17.3"
"133938000","0","3283","17.3"
"134148000","0","3283","17.3"
"134555000","0","3283","17.3"
"134823000","0","3283","17.3"
"135091000","0","3283","17.3"
"135301000","0","3283","17.6"
"135511000","0","3283","17.6"
"135919000","0","3283","17.6"
"136187000","0","3283","17.6"
"136397000","0","3283","17.6"
"136607000","0","3283","17.6"
"136816000","0","3283","17.6"
"137230000","0","3283","17.6"
"137498000","0","3283","17.6"
"137708000","0","3283","17.9"
"137919000","0","3283","17.9"
"138129000","0","3283","17.9"
"138536000","0","3283","17.9"
"138804000","0","3283","17.9"
"139013000","0","3283","17.9"
"139223000","0","3283","17.9"
"139433000","0","3283","17.9"
"139841000","0","3283","18.2"
"140050000","0","3283","18.2"
"140318000","0","3283","18.2"
"140528000","0","3283","18.2"
"140739000","0","3283","18.2"
"141146000","0","3283","18.2"
"141415000","0","3283","18.2"
"141624000","0","3283","18.2"
"141834000","0","3283","18.2"
"142044000","0","3283","18.5"
"142452000","0","3283","18.5"
"142720000","0","3283","18.5"
"142929000","0","3283","18.5"
"143140000","0","3283","18.5"
"143350000","0","3283","18.5"
"143757000","0","3283","18.5"
"144025000","0","3283","18.5"
"144235000","0","3283","18.5"
"144444000","0","3283","18.8"
"144655000","0","3283","18.8"
"145061000","0","3283","18.8"
"145329000","0","3283","18.8"
"145540000","0","3283","18.8"
"145750000","0","3283","18.8"
"145960000","0","3283","18.8"
"146368000","0","3283","18.8"
"146635000","0","3283","19.1"
"146846000","0","3283","19.1"
"147056000","0","3283","19.1"
"147271000","0","3283","19.1"
"147679000","0","3283","19.1"
"147946000","0","3283","19.1"
"148156000","0","3284","19.1"
"148366000","0","3283","19.1"
"148575000","0","3283","19.1"
"148983000","0","3283","19.4"
"149251000","0","3283","19.4"
"149462000","0","3283","19.4"
"149671000","0","3283","19.4"
"149881000","0","3283","19.4"
"150289000","0","3283","19.4"
"150556000","0","3283","19.4"
"150766000","0","3283","19.4"
"150976000","0","3283","19.4"
"151187000","0","3283","19.7"
"151595000","0","3283","19.7"
"151863000","0","3283","19.7"
"152072000","0","3283","19.7"
"152282000","0","3283","19.7"
"152492000","0","3283","19.7"
"152899000","0","3283","19.7"
"153167000","0","3283","19.7"
"153377000","0","3283","20.0"
"153587000","0","3283","20.0"
"153797000","0","3283","20.0"
"154205000","0","3283","20.0"
"154472000","0","3283","20.0"
"154682000","0","3283","20.0"
"154892000","0","3283","20.0"
"155103000","0","3283","20.0"
"155511000","0","3283","20.0"
"155779000","0","3283","20.2"
"155989000","0","3283","20.2"
"156199000","0","3283","20.2"
"156410000","0","3283","20.2"
"156817000","0","3283","20.2"
"157091000","0","3283","20.2"
"157302000","0","3283","20.2"
"157511000","0","3283","20.2"
"157721000","0","3283","20.2"
"158128000","0","3283","20.5"
"158339000","0","3283","20.5"
"158606000","0","3283","20.5"
"158816000","0","3283","20.5"
"159025000","0","3283","20.5"
"159433000","0","3283","20.5"
"159701000","0","3283","20.5"
"159911000","0","3283","20.5"
"160121000","0","3283","20.8"
"160332000","0","3283","20.8"
"160739000","0","3283","20.8"
"161006000","0","3283","20.8"
"161216000","0","3283","20.8"
"161425000","0","3283","20.8"
"161635000","0","3283","20.8"
"162042000","0","3283","20.8"
"162309000","0","3283","20.8"
"162520000","0","3283","21.1"
"162730000","0","3283","21.1"
"162940000","0","3283","21.1"
"163347000","0","3283","21.1"
"163614000","0","3283","21.1"
"163825000","0","3283","21.1"
"164034000","0","3283","21.1"
"164244000","0","3283","21.1"
"164651000","0","3283","21.1"
"164919000","0","3283","21.4"
"165128000","0","3283","21.4"
"165339000","0","3283","21.4"
"165549000","0","3283","21.4"
"165957000","0","3283","21.4"
"166225000","0","3283","21.4"
"166435000","0","3283","21.4"
"166645000","0","3283","21.4"
"166855000","0","3283","21.4"
"167268000","0","3283","21.7"
"167537000","0","3283","21.7"
"167747000","0","3283","21.7"
"167957000","0","3283","21.7"
"168167000","0","3283","21.7"
"168574000","0","3283","21.7"
"168842000","0","3283","21.7"
"169051000","0","3283","21.7"
"169262000","0","3283","22.0"
"169472000","0","3283","22.0"
"169880000","0","3283","22.0"
"170148000","0","3283","22.0"
"170358000","0","3283","22.0"
"170568000","0","3283","22.0"
"170778000","0","3283","22.0"
"171243000","0","3283","22.0"
"171453000","0","3283","22.0"
"171663000","0","3283","22.3"
"171873000","0","3283","22.3"
"172083000","0","3283","22.3"
"172490000","0","3283","22.3"
"172759000","0","3283","22.3"
"172968000","0","3283","22.3"
"173178000","0","3283","22.3"
"173388000","0","3283","22.3"
"173795000","0","3283","22.6"
"174062000","0","3283","22.6"
"174272000","0","3283","22.6"
"174482000","0","3283","22.6"
"174692000","0","3283","22.6"
"175100000","0","3283","22.6"
"175368000","0","3283","22.6"
"175578000","0","3283","22.6"
"175788000","0","3283","22.6"
"175998000","0","3283","22.6"
"176406000","0","3283","22.8"
"176673000","0","3283","22.8"
"176884000","0","3283","22.8"
"177104000","0","3283","22.8"
"177314000","0","3283","22.8"
"177714000","0","3283","22.8"
"177989000","0","3283","22.8"
"178199000","0","3282","22.8"
"178410000","0","3282","23.1"
"178619000","0","3282","23.1"
"179026000","0","3282","23.1"
"179294000","0","3283","23.1"
"179504000","0","3283","23.1"
"179713000","0","3283","23.1"
"179923000","0","3283","23.1"
"180331000","0","3283","23.1"
"180599000","0","3283","23.4"
"180809000","0","3283","23.4"
"181018000","0","3283","23.4"
"181229000","0","3283","23.4"
"181636000","0","3283","23.4"
"181904000","0","3283","23.4"
"182114000","0","3283","23.4"
"182324000","0","3283","23.4"
"182533000","0","3283","23.4"
"182942000","0","3283","23.7"
"183209000","0","3283","23.7"
"183420000","0","3283","23.7"
"183630000","0","3283","23.7"
"183840000","0","3283","23.7"
"184248000","0","3283","23.7"
"184515000","0","3283","23.7"
"184725000","0","3283","23.7"
"184936000","0","3283","23.7"
"185145000","0","3283","24.0"
"185553000","0","3283","24.0"
"185821000","0","3283","24.0"
"186032000","0","3283","24.0"
"186241000","0","3283","24.0"
"186451000","0","3283","24.0"
"186859000","0","3283","24.0"
"187133000","0","3283","24.0"
"187342000","0","3283","24.3"
"187553000","0","3283","24.3"
"187762000","0","3283","24.3"
"188170000","0","3283","24.3"
"188438000","0","3283","24.3"
"188649000","0","3283","24.3"
"188858000","0","3283","24.3"
"189068000","0","3283","24.3"
"189475000","0","3283","24.3"
"189742000","0","3283","24.6"
"189953000","0","3283","24.6"
"190163000","0","3283","24.6"
"190373000","0","3283","24.6"
"190772000","0","3283","24.6"
"191049000","0","3283","24.6"
"191258000","0","3284","24.6"
"191468000","0","3283","24.6"
