Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"118221000","189900","3283","74.4"
"118432000","189900","3283","74.8"
"118839000","189900","3283","75.2"
"119107000","189900","3283","75.2"
"119317000","189900","3283","75.2"
"119528000","189900","3283","75.6"
"119743000","189900","3283","75.6"
"120151000","189900","3283","75.9"
"120417000","189900","3283","75.9"
"120628000","189900","3283","75.9"
"120837000","189900","3283","76.3"
"121048000","189900","3283","76.3"
"121513000","189900","3283","76.7"
"121722000","189900","3283","76.7"
"121932000","189900","3283","77.0"
"122142000","189900","3283","77.0"
"122352000","189900","3282","77.0"
"122759000","189900","3282","77.4"
"123027000","189900","3282","77.4"
"123238000","189900","3282","77.8"
"123452000","189900","3282","77.8"
"123662000","189900","3282","77.8"
"124128000","189900","3282","78.1"
"124339000","189900","3282","78.5"
"124549000","189900","3282","78.5"
"124758000","189900","3282","78.5"
"124968000","189900","3282","78.9"
"125376000","189900","3282","78.9"
"125642000","189900","3282","79.3"
"125852000","189900","3282","79.3"
"126062000","189900","3282","79.7"
"126272000","189900","3282","79.7"
"126680000","189900","3282","80.0"
"126947000","189900","3282","80.0"
"127157000","189900","3282","80.4"
"127367000","189900","3282","80.4"
"127578000","189900","3282","80.4"
"127985000","189900","3282","80.8"
"128253000","189900","3282","80.8"
"128463000","189900","3282","81.1"
"128673000","189900","3282","81.1"
"128883000","189900","3282","81.1"
"129291000","189900","3282","81.5"
"129560000","189900","3282","81.9"
"129776000","189900","3282","81.9"
"129985000","189900","3282","81.9"
"130194000","189900","3282","82.3"
"130602000","189900","3282","82.3"
"130869000","189900","3282","82.6"
"131079000","189900","3282","82.6"
"131289000","189900","3282","83.0"
"131498000","189900","3282","83.0"
"131906000","189900","3282","83.4"
"132174000","189900","3282","83.4"
"132384000","189900","3282","83.4"
"132593000","189900","3282","83.8"
"132803000","189900","3282","83.8"
"133211000","189900","3282","84.1"
"133479000","189900","3282","84.1"
"133689000","189900","3282","84.5"
"133898000","189900","3282","84.5"
"134108000","189900","3282","84.5"
"134515000","189900","3282","84.9"
"134784000","189900","3282","84.9"
"134993000","189900","3282","85.2"
"135203000","189900","3282","85.2"
"135413000","189900","3282","85.2"
"135822000","189900","3282","85.6"
"136089000","189900","3282","86.0"
"136298000","189900","3282","86.0"
"136508000","189900","3282","86.0"
"136719000","189900","3282","86.4"
"137127000","189900","3282","86.4"
"137395000","189900","3282","86.7"
"137605000","189900","3282","86.7"
"137815000","189900","3282","86.7"
"138025000","189900","3282","87.1"
"138432000","189900","3282","87.1"
"138699000","189900","3282","87.5"
"138910000","189900","3282","87.5"
"139118000","189900","3282","87.9"
"139328000","189900","3282","87.9"
"139741000","189900","3282","88.2"
"140008000","189900","3282","88.2"
"140218000","189900","3282","88.2"
"140429000","189900","3282","88.6"
"140639000","189900","3282","88.6"
"141046000","189900","3282","89.0"
"141314000","189900","3282","89.0"
"141524000","189900","3282","89.3"
"141734000","189900","3282","89.3"
"141944000","189900","3282","89.3"
"142352000","189900","3282","89.7"
"142619000","189900","3282","89.7"
"142828000","189900","3282","90.1"
"143039000","189900","3282","90.1"
"143249000","189900","3282","90.1"
"143715000","189900","3282","90.4"
"143925000","189900","3282","90.4"
"144135000","189900","3282","90.8"
"144345000","189900","3282","90.8"
"144556000","189900","3282","91.2"
"144964000","189900","3282","91.2"
"145233000","189900","3282","91.6"
"145443000","189900","3282","91.6"
"145653000","189900","3282","91.6"
"145863000","189900","3282","91.9"
"146271000","189900","3282","91.9"
"146538000","189900","3283","92.3"
"146749000","189900","3283","92.3"
"146958000","189900","3283","92.7"
"147169000","189900","3283","92.7"
"147577000","189900","3283","93.1"
"147845000","189900","3283","93.1"
"148055000","189900","3283","93.4"
"148266000","189900","3283","93.4"
"148476000","189900","3283","93.4"
"148883000","188800","3283","93.8"
"149150000","188800","3283","93.8"
"149361000","188800","3283","94.2"
"149571000","188800","3283","94.2"
"149786000","188800","3283","94.2"
"150193000","188800","3283","94.5"
"150461000","188800","3283","94.9"
"150670000","188800","3283","94.9"
"150880000","188800","3283","94.9"
"151089000","188800","3283","95.3"
"151498000","188800","3283","95.3"
"151765000","188800","3283","95.7"
"151975000","188800","3283","95.7"
"152184000","188800","3283","96.0"
"152394000","188800","3283","96.0"
"152802000","188800","3283","96.4"
"153069000","188800","3283","96.4"
"153280000","188800","3283","96.4"
"153489000","188800","3283","96.8"
"153699000","188800","3283","96.8"
"154107000","188800","3283","97.2"
"154375000","188800","3283","97.2"
"154585000","188800","3283","97.5"
"154795000","188800","3283","97.5"
"155004000","188800","3283","97.5"
"155412000","188800","3283","97.9"
"155680000","188800","3283","97.9"
"155889000","188800","3283","98.3"
"156099000","188800","3283","98.3"
"156310000","188800","3283","98.3"
"156717000","188800","3283","98.6"
"156985000","188800","3283","99.0"
"157194000","188800","3283","99.0"
"157404000","188800","3283","99.0"
"157614000","188800","3283","99.4"
"158021000","188800","3283","99.4"
"158289000","188800","3283","99.8"
"158500000","188800","3283","99.8"
"158709000","188800","3283","99.8"
"158919000","188800","3283","100.1"
"159326000","188800","3283","100.1"
"159593000","188800","3283","100.5"
"159809000","188800","3283","100.5"
"160019000","188800","3283","100.9"
"160229000","188800","3283","100.9"
"160636000","188800","3283","101.3"
"160904000","188800","3283","101.3"
"161114000","188800","3283","101.3"
"161324000","188800","3283","101.6"
"161534000","188800","3283","101.6"
"161941000","188800","3283","102.0"
"162208000","188800","3283","102.0"
"162418000","188800","3283","102.0"
"162627000","188800","3283","102.4"
"162837000","188800","3283","102.4"
"163245000","188800","3283","102.7"
"163513000","188800","3283","102.7"
"163722000","188800","3283","103.1"
"163933000","188800","3283","103.1"
"164143000","188800","3283","103.1"
"164551000","188800","3283","103.5"
"164819000","188800","3283","103.5"
"165029000","188800","3283","103.9"
"165240000","188800","3283","103.9"
"165455000","188800","3283","104.2"
"165863000","188800","3283","104.2"
"166131000","188800","3283","104.6"
"166341000","188800","3283","104.6"
"166551000","188800","3283","104.6"
"166760000","188800","3283","105.0"
"167167000","188800","3283","105.0"
"167435000","188800","3283","105.3"
"167645000","188800","3283","105.3"
"167855000","188800","3283","105.7"
"168065000","188800","3283","105.7"
"168473000","188800","3283","106.1"
"168741000","188800","3283","106.1"
"168950000","188800","3283","106.5"
"169160000","188800","3283","106.5"
"169370000","188800","3283","106.5"
"169784000","188800","3283","106.8"
"170051000","188800","3283","106.8"
"170262000","188800","3283","107.2"
"170472000","188800","3283","107.2"
"170682000","188800","3283","107.6"
"171090000","188800","3283","107.6"
"171358000","188800","3283","108.0"
"171568000","188800","3283","108.0"
"171777000","188800","3283","108.0"
"171987000","188800","3283","108.3"
"172394000","188800","3283","108.3"
"172663000","188800","3283","108.7"
"172872000","188800","3283","108.7"
"173081000","188800","3283","109.1"
"173291000","188800","3283","109.1"
"173699000","188800","3283","109.5"
"173967000","188800","3283","109.5"
"174177000","188800","3283","109.5"
"174387000","188800","3283","109.8"
"174597000","188800","3283","109.8"
"175004000","188800","3283","110.2"
"175272000","188800","3283","110.2"
"175481000","188800","3283","110.6"
"175692000","188800","3283","110.6"
"175902000","188800","3283","110.6"
